ligand,Filename,Category,Ligand_Location_Word,Ligand_Location_Sentence,Ligand_Location_Chunck
"(R)-1,1'-binaphthyl-2,2'-dihydroxy-6,6'-dicarboxylic acid",10.1039_c5ra26520g_1.pdf,chiralty,"Introduction, Body",Body,"Abstract, Introduction, Body"
"(S)-1,1'-binaphthyl-2,2'-dimethoxy-6,6'-dicarboxylic acid",10.1039_c5ra26520g_1.pdf,chiralty,"Introduction, Body",Body,"Abstract, Introduction, Body"
"(R)-1,1'-binaphthyl-2,2'-dimethoxy-6,6'-dicarboxylic acid",10.1039_c5ra26520g_1.pdf,chiralty,"Introduction, Body",Body,"Abstract, Introduction, Body"
"(R)-2,2'-dihydroxy-1,1'-binaphthyl-5,5'-dibenzoic acid",10.1039_c4ce02210f_0.pdf,chiralty,"Title, Abstract, Body","Title, Body","Title, Abstract, Body"
"(R)-2,2'-dimethoxy-1,1'-binaphthyl-5,5'-dibenzoic acid",10.1039_c4ce02210f_0.pdf,chiralty,"Title, Abstract, Body","Title, Introduction, Body","Title, Abstract, Body"
"(R)-2,2'-diethoxy-1,1'binaphthyl-4,4',6,6'-tetracarboxylic acid",10.1038_NCHEM.738_0.pdf,chiralty,Body,"Conclusion, Body",Body
"(R)-(2E,2'E,2''E,2'''E)-3,3',3'',3'''-(2,2'-diethoxy-1,1'-binaphthyl-4,4',6,6'-tetrayl)tetraacrylic acid",10.1038_NCHEM.738_0.pdf,chiralty,Not Found,Not Found,Not Found
"(R)-4,4',4'',4'''-(1E,1'E,1''E,1'''E)-2,2',2'',2'''-(2,2'-diethoxy-1,1'-binaphthyl-4,4',6,6'-tetrayl)- tetrakis(ethene-2,1-diyl)tetrabenzoic acid",10.1038_NCHEM.738_0.pdf,chiralty,Not Found,Not Found,Not Found
"(R)-2,2'-dihydroxy-1,1'-binaphthyl-4,4',6,6'-tetracarboxylic acid",10.1038_NCHEM.738_0.pdf,chiralty,Body,"Conclusion, Body",Body
"(R)-(2E,2'E,2''E,2'''E)-3,3',3'',3'''-(2,2'-dihydroxy-1,1'-binaphthyl-4,4',6,6'-tetrayl)tetraacrylic acid",10.1038_NCHEM.738_0.pdf,chiralty,Not Found,Not Found,Not Found
"(R)-2,2'-dihydroxy-1,1'-dinaphthyl-4,4',6,6'-tetrakis(4-benzoic acid)",10.1038_NCHEM.738_0.pdf,chiralty,Body,Body,Not Found
"(R)-3,3'-bis(6-carboxy-2-naphthyl)-2,2'-dihydroxy-1,1'-binaphthyl",10.1039_c8ce01791c_1.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Body","Title, Abstract, Introduction, Conclusion, Body"
"2,2'-dihydroxy-1,1'-binaphthyl-6,6'-bis(phosphonic acid)",10.1016_j.molcata.2004.01.022_0.pdf,chiralty,"Abstract, Body","Title, Conclusion, Body","Abstract, Body"
"2,2'-dihydroxy-1,1'-binaphthyl-6,6'-bis(vinylphosphonic acid)",10.1016_j.molcata.2004.01.022_0.pdf,chiralty,"Abstract, Body","Introduction, Conclusion, Body",Body
"2,2'-dihydroxy-1,1'-binaphthyl-6,6'-bis(styrylphosphonic acid)",10.1016_j.molcata.2004.01.022_0.pdf,chiralty,"Abstract, Body","Conclusion, Body",Body
"2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(styrylphosphonic acid)",10.1016_j.molcata.2004.01.022_0.pdf,chiralty,"Abstract, Body","Title, Conclusion, Body",Body
"(R)-4,4'-bis(4-carboxyphenylethynyl)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl",10.1021_ja500090y_0.pdf,chiralty,Body,Not Found,Body
"tris((4-carboxyl)phenyl(2,4,5-trimethylphenyl))borane",10.1021_ic9002675_0.pdf,chiralty,"Introduction, Body",Body,Body
"4,4',4'',4'''-benzene-1,2,4,5-tetrayltetrabenzoic acid",10.1021_acs.cgd.8b00439_0.pdf,optimization,"Introduction, Body","Title, Body",Body
"2,4,6-tris(3,5-dicarboxylphenylamino)-1,3,5-triazine",10.1021_acs.inorgchem.2c01893_0.pdf,optimization,"Abstract, Introduction, Body","Abstract, Introduction, Body","Abstract, Introduction, Body"
"2,4,6-tris(4-carboxylphenylamino)-1,3,5-triazine",10.1021_acs.inorgchem.2c01893_0.pdf,optimization,"Abstract, Introduction, Body","Abstract, Introduction, Body","Abstract, Introduction, Body"
"benzene-1,3,5-tricarboxylic acid",10.1007_s10934-014-9883-7_0.pdf,optimization,"Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Body","Abstract, Introduction, Conclusion, Body"
2H-imidazole carbaldehyde,10.3390_molecules26061573_0.pdf,optimization,"Abstract, Introduction, Body","Introduction, Body","Introduction, Body"
"2,5-furandicarboxylic acid",10.1021_acs.inorgchem.6b02969_0.pdf,optimization,"Title, Abstract, Introduction, Conclusion, Body","Title, Body","Title, Abstract, Introduction, Conclusion, Body"
"benzene-1,4-dicarboxylic acid",10.1007_s10853-017-1658-5_0.pdf,optimization,"Introduction, Conclusion, Body",Body,"Introduction, Body"
"2,5-dihydroxyterephthalic acid",10.1039_c9dt01572h_1.pdf,optimization,"Abstract, Introduction, Body",Body,"Introduction, Body"
"3,3'-dihydroxy-[1,1'-biphenyl]-4,4'-dicarboxylic acid",10.1039_d1dt01945g_1.pdf,optimization,"Introduction, Body","Introduction, Conclusion, Body","Introduction, Body"
2-methylimidazole,10.1039_d1ma00139f_1.pdf,optimization,"Abstract, Introduction, Conclusion, Body",Body,"Introduction, Body"
"(S)-2,2'-dihydroxy-6,6'-dimethyl-[1,1'-biphenyl]-4,4'-dicarboxylic acid",10.1021_acscatal.8b04827_0.pdf,chiralty,Body,Body,Body
"(R)-3,3'-bipyridine-5,5',6,6'-tetramethyl-2,2'-dimethoxy-1,1'-biphenyl",10.1021_ja901154p_0.pdf,chiralty,"Abstract, Body",Body,"Abstract, Body"
"3,3',5,5'-tetrachloro-4,4'-bipyridine",10.1039_c6ra28197d_0.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Conclusion, Body"
"3,3',5,5'-tetrabromo-4,4'-bipyridine",10.1039_c6ra28197d_0.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Conclusion, Body"
"3,5-dichloro-3',5'-diiodo-4,4'-bipyridine",10.1039_c6ra28197d_0.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Abstract, Body","Title, Abstract, Introduction, Body"
"3,5-dibromo-3',5'-diiodo-4,4'-bipyridine",10.1039_c6ra28197d_0.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Abstract, Introduction, Body","Title, Abstract, Introduction, Body"
"3,3'-dibromo-5,5'-bis(4-methoxyphenyl)-4,4'-bipyridine",10.1039_c6ra28197d_0.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Conclusion, Body","Title, Abstract, Introduction, Body"
"(S)-3,3'-di-tert-butyl-5,5'-dicarboxyphenyl-6,6'-dimethylbiphenyl-2,2'-diylhydrogen phosphate",10.1038_s41467-017-02335-0_4.pdf,chiralty,Body,Body,Body
"(R)-3,3'-di-tert-butyl-5,5'-dicarboxyphenyl-6,6'-dimethylbiphenyl-2,2'-diylhydrogen phosphate",10.1038_s41467-017-02335-0_4.pdf,chiralty,Body,Body,Body
"(R)-7,7,7',7'-tetramethyl-6,6',7,7'-tetrahydro-3H,3'H-5,5'-spirobi[indeno[5,6-d]-[1,2,3]triazole]",10.1039_d0dt02847a_0.pdf,chiralty,"Abstract, Introduction",Abstract,Abstract
