ligand name,T [°C],t [h],solvent1,V/V solvent1 [ ],solvent2,V/V solvent2 [ ],solvent3,V/V solvent3 [ ],inorganic salt,metal,additional,reported,outcome,score,,CCDC,Isostructural,Enantiomeric,Source,,Category
"4,5-dicyanoimidazole",25,NA,acetonitrile,1,NA,NA,NA,NA,CuI,Cu,NA,10.1016/j.solidstatesciences.2022.106885,successful,1.00,,JAWXEN01,identical,identical,linked,,optimization
"4,5-dicyanoimidazole",25,NA,acetonitrile,0.67,methanol,0.33,NA,NA,CuI,Cu,NA,10.1016/j.solidstatesciences.2022.106885,successful,1.00,,GAZNAA,identical,identical,linked,,optimization
"4-(3,5-dicarboxyphenyl)-2,2':4',4''-terpyridine",125,72,DMA,0.5,DMSO,0.5,NA,NA,FeCl2·4H2O,Fe,HBF4 / H2O,10.1021/acs.cgd.0c00879,successful,1.00,,LUZKEZ,identical,identical,linked,,optimization
"2,5-Bis-(1H-1,2,4-triazol-1-yl) terephthalic acid",130,72,DMF,0.14,methanol,0.29,water,0.57,Co(NO3)2·6H2O,Co,NA,10.1039/d1ce01093j,successful,1.00,,EVOROZ01,identical,identical,linked,,optimization
"2,5-Bis-(1H-1,2,4-triazol-1-yl) terephthalic acid",130,72,DMSO,0.5,methanol,0.5,NA,NA,Co(NO3)2·6H2O,Co,NA,10.1039/d1ce01093j,successful,1.00,,OBEWEB,identical,identical,linked,,optimization
"2,5-Bis-(1H-1,2,4-triazol-1-yl) terephthalic acid",NA,0.02,DMSO,0.75,methanol,0.25,NA,NA,Co(NO3)2·6H2O,Co,NA,10.1039/d1ce01093j,successful,1.00,,OBEWIF,identical,identical,linked,,optimization
"5,5'-(1,4-phenylenedi-2,1-ethinyl)bis(1,3-benzenedicarboxylic acid)",100,24,DMA,1,NA,NA,NA,NA,Cu(NO3)2·3H2O,Cu,HCl / H2O,10.1021/cg4018536,successful,1.00,,missing,NA,NA,NA,,optimization
"5,5'-(1,4-phenylenedi-2,1-ethinyl)bis(1,3-benzenedicarboxylic acid)",100,24,DMF,0.5,dioxane,0.25,water,0.25,Cu(NO3)2·3H2O,Cu,HCl / H2O,10.1021/cg4018536,successful,1.00,,missing,NA,NA,NA,,optimization
"2,5-dihydroxyterephthalic acid",120,120,acetic acid,1,NA,NA,NA,NA,Ti(OiPr)4,Ti,NA,10.1016/j.cej.2020.125080,successful,1.00,,VIZPUR,identical,identical,matched,,review
"trans-1,4-cyclo-hexanedicarboxylate",110,48,DMF,1,NA,NA,NA,NA,Cp2TiCl2,Ti,NA,10.1016/j.cej.2020.125080,successful,1.00,,NUYNAY,identical,identical,matched,,review
"4,4',4'',4'''-(5,10,15,20-porphyrintetrayl)tetrabenzoic acid",150,48,DEF,1,NA,NA,NA,NA,Ti(OiPr)4,Ti,NA,10.1016/j.cej.2020.125080,successful,1.00,,TUHSOG,identical,identical,matched,,review
"5-[(3,5-dicarboxyphenyl)methyl]benzene-1,3-dicarboxylic acid",101,24,formic acid,1,NA,NA,NA,NA,Ti(OiPr)4,Ti,NA,10.1016/j.cej.2020.125080,successful,1.00,,NOPCED,identical,identical,matched,,review
"benzene-1,4-dicarboxylic acid",150,20,DMF,0.9,methanol,0.1,NA,NA,Ti(OnBu)4,Ti,NA,10.1002/anie.201108357,successful,1.00,,RUPRUQ,identical,identical,matched,,optimization
2-aminoterephthalic acid,150,72,DMF,0.9,methanol,0.1,NA,NA,Ti(OnBu)4,Ti,NA,10.1002/anie.201108357,successful,1.00,,NIMXAK,identical,identical,matched,,optimization
"2,5-dihydroxyterephthalic acid",178,2,DEF,1,NA,NA,NA,NA,Ti(OiPr)4,Ti,NA,10.1021/acs.inorgchem.6b01060,successful,1.00,,OTOLOA,identical,identical,linked,,optimization
"2,5-dihydroxyterephthalic acid",200,20,DEF,1,NA,NA,NA,NA,Ti(OiPr)4,Ti,NA,10.1021/acs.inorgchem.6b01060,successful,1.00,,OTOLOA,identical,identical,linked,,optimization
"2,5-dihydroxyterephthalic acid",180,24,DEF,0.5,methanol,0.5,NA,NA,Ti(OiPr)4,Ti,NA,10.1021/acs.inorgchem.6b01060,successful,1.00,,OTOLIU,identical,identical,linked,,optimization
"2,5-dihydroxyterephthalic acid",120,120,acetic acid,0.67,diethylamine,0.33,NA,NA,Ti(OiPr)4,Ti,NA,10.1021/acs.inorgchem.6b01060,successful,1.00,,OTOLIU,identical,identical,linked,,optimization
"2,5-dihydroxyterephthalic acid",180,48,DEF,1,NA,NA,NA,NA,Ti(OiPr)4,Ti,catechol,10.1021/acs.inorgchem.6b01060,successful,1.00,,OTOLOA,identical,identical,linked,,optimization
